word,freq
mr,148
bloom,58
martin,55
cunningham,47
dedalus,44
power,43
one,39
like,39
no,33
dead,28
yes,25
man,25
old,24
life,24
o,22
well,22
carriage,21
asked,21
must,21
see,20
back,20
little,20
say,20
eyes,19
would,19
round,18
face,18
poor,18
last,18
heart,18
know,17
good,17
death,17
coffin,17
come,16
us,16
better,16
day,16
fellow,16
got,15
hat,15
put,15
boy,15
john,15
could,14
kernan,14
ned,14
lambert,14
get,14
first,13
passed,13
never,13
corny,13
away,13
hynes,13
henry,13
time,13
head,12
looked,12
way,12
son,12
thing,12
every,12
open,11
woman,11
go,11
something,11
behind,11
still,11
two,11
name,11
right,11
hand,11
took,11
kelleher,11
