word,freq
bloom,72
miss,72
one,48
tap,48
douce,43
o,42
no,42
mr,42
pat,40
ben,40
bronze,36
dollard,33
dedalus,32
kennedy,31
hear,31
heard,30
see,30
wait,28
like,28
yes,28
two,28
cowley,28
gold,27
rose,26
voice,26
hee,25
boylan,25
richie,25
look,23
first,23
eyes,22
father,22
must,22
lost,21
lidwell,21
know,21
music,21
come,20
last,20
good,19
lips,19
old,18
simon,18
lenehan,18
jingle,17
love,17
went,17
well,17
never,17
goulding,17
long,16
saw,16
asked,16
night,16
name,16
chords,15
little,15
go,15
came,15
still,15
door,15
cried,14
la,14
bald,14
ear,14
think,14
high,14
want,14
round,14
blazes,14
hair,13
ah,13
feel,13
big,13
face,13
