word,freq
no,23
old,18
like,15
o,14
day,14
mr,13
morning,13
tea,13
back,13
good,12
still,11
must,11
yes,11
read,11
three,10
time,10
away,10
cat,9
eyes,9
say,9
better,9
kidney,9
paper,9
young,9
night,9
first,9
bloom,8
another,8
round,8
wonder,8
till,8
went,8
door,8
might,8
hand,8
would,8
street,8
grey,8
milly,8
letter,8
air,7
bread,7
butter,7
full,7
turned,7
black,7
dark,7
took,7
perhaps,7
way,7
get,7
little,7
trousers,7
sun,7
one,7
open,7
put,7
smell,7
bed,7
girls,7
right,6
set,6
mouth,6
want,6
quietly,6
got,6
sir,6
make,6
along,6
page,6
book,6
six,6
heigho,6
light,5
bit,5
