word,freq
like,105
little,68
would,62
see,58
gerty,56
could,53
no,50
time,46
cissy,46
back,44
o,42
eyes,40
one,38
edy,37
never,36
man,29
told,29
look,29
something,29
tommy,28
good,28
know,28
two,27
might,27
way,26
come,25
caffrey,25
say,25
always,25
go,25
ever,23
boardman,22
baby,22
face,22
went,22
must,22
old,21
still,21
knew,21
love,21
father,21
looking,21
molly,21
put,20
get,20
gentleman,19
white,19
long,18
thought,18
made,18
home,18
evening,17
far,17
girl,17
jacky,17
ball,17
blue,17
dark,17
twins,16
young,16
though,16
came,16
round,16
us,16
let,16
thing,16
saw,16
coming,16
away,15
first,15
every,15
house,15
till,15
hand,15
felt,15
