word,freq
bloom,123
stephen,65
street,53
1,43
one,37
would,35
two,33
years,33
place,30
dublin,30
first,26
human,26
right,25
2,24
£,23
new,22
bed,21
5,20
name,20
water,19
guest,19
p.,19
left,18
man,18
house,18
three,18
various,18
second,18
day,17
female,17
no,16
host,16
mrs,16
order,15
per,15
part,15
containing,15
possible,15
leopold,15
born,15
less,14
irish,14
certain,14
night,14
door,14
paper,14
c.,14
natural,14
time,14
line,14
north,13
light,13
hand,13
public,13
period,13
father,13
company,13
hotel,13
male,13
rudolph,13
narrator,13
birth,13
past,12
life,12
year,12
concerning,12
back,12
head,12
kitchen,12
candle,12
without,12
dedalus,12
power,12
cloth,12
white,12
