word,freq
like,209
yes,91
old,83
could,72
one,70
get,69
always,66
no,63
know,59
thing,58
well,58
see,58
time,57
going,57
suppose,56
ill,55
way,55
never,53
hes,52
go,51
o,51
im,49
course,48
woman,48
us,46
man,46
first,42
something,42
put,42
make,41
bit,41
hed,39
id,38
much,37
didnt,37
wouldnt,37
day,36
thats,36
let,35
theyre,35
god,34
got,34
night,34
used,33
look,33
want,33
made,32
long,32
back,32
love,31
dont,31
even,31
think,30
big,30
say,30
wonder,29
little,29
would,28
still,28
nice,28
coming,28
saw,27
two,27
gave,27
couldnt,27
things,27
bed,26
ever,26
father,26
sure,26
eyes,26
theres,26
anything,25
better,25
knew,25
