word,freq
like,56
mr,47
no,46
see,41
bloom,40
one,37
must,30
eyes,30
old,29
two,29
flynn,29
street,28
hand,27
o,27
man,26
good,26
nosey,25
time,24
know,24
get,21
say,21
yes,21
back,21
byrne,21
never,19
way,19
day,18
would,18
davy,18
could,17
something,17
fellow,17
look,17
coming,16
well,16
right,16
mrs,16
poor,15
got,15
first,15
go,15
take,15
young,14
night,14
woman,14
going,14
mouth,14
think,14
three,14
round,14
god,13
still,13
eat,13
things,13
sir,13
come,13
year,12
put,12
always,12
world,12
big,12
course,12
tell,12
people,12
home,11
give,11
towards,11
keep,11
men,11
head,11
molly,11
long,11
years,11
gave,11
high,11
