word,freq
bloom,31
like,31
mr,30
no,29
time,22
one,22
yes,19
o,17
old,17
letter,14
coy,14
poor,14
eyes,13
tell,12
last,12
long,12
get,11
still,11
right,11
hand,11
day,11
back,11
see,11
water,10
second,10
well,10
good,10
voice,10
priest,10
could,9
way,9
know,9
going,9
street,8
must,8
hat,8
behind,8
open,8
something,8
go,8
look,8
fellow,8
porter,8
stood,8
lyons,8
wife,8
god,8
keep,8
along,7
sir,7
turned,7
name,7
read,7
took,7
pocket,7
went,7
put,7
saw,7
weight,7
per,7
flower,7
think,7
take,7
man,7
kind,7
bantam,7
head,7
thing,7
always,7
two,7
bit,7
round,7
feel,7
bad,7
next,7
