word,freq
stephen,63
mr,44
john,40
eglinton,39
mulligan,35
best,33
know,33
one,32
hamlet,31
father,31
man,29
o,28
shakespeare,26
life,25
name,25
no,24
son,23
buck,23
old,20
like,20
two,18
day,18
world,17
us,17
come,17
first,16
would,16
see,16
words,14
asked,14
king,14
back,14
say,14
quaker,13
good,13
yes,13
play,13
time,13
shall,13
love,13
librarian,12
go,12
shadow,12
mean,12
ghost,12
years,12
richard,12
art,11
new,11
mother,11
eyes,11
wife,11
men,11
brother,10
left,10
face,10
upon,10
born,10
must,10
going,10
read,10
may,10
way,10
three,10
sir,10
william,10
poet,9
came,9
death,9
night,9
god,9
young,9
book,9
written,9
voice,9
