word,freq
father,85
mr,76
conmee,62
street,39
john,36
one,35
dedalus,33
o,31
sir,29
yes,28
two,27
see,26
walked,26
good,25
old,23
long,21
eyes,21
like,21
asked,21
came,20
along,20
god,19
well,19
man,19
turned,19
past,19
little,18
passed,18
no,18
towards,17
corner,17
bridge,17
lord,17
dilly,17
cunningham,16
right,16
lenehan,16
martin,16
time,15
dignam,15
white,15
say,15
went,15
c.,15
halted,15
know,15
get,15
dollard,15
ben,15
j.,14
smiled,14
going,14
saw,14
head,14
young,14
lambert,14
cowley,14
back,13
way,13
hand,13
office,13
stood,13
round,13
boylan,13
coy,13
bloom,13
held,12
thought,12
put,12
mouth,12
tram,12
stephen,12
ned,12
five,11
name,11
