word,freq
stephen,82
bloom,77
though,74
mr,67
one,67
no,55
would,53
like,51
man,49
could,48
way,45
time,41
course,37
say,35
thing,34
quite,31
fact,31
two,31
might,30
bit,27
put,27
good,26
back,26
old,26
much,26
street,25
matter,25
even,25
still,25
rather,24
little,24
away,23
kind,23
point,23
something,23
sailor,23
first,22
name,22
without,21
got,21
sort,21
round,20
night,20
turned,20
case,20
however,20
come,20
made,19
seen,19
simply,19
also,19
went,19
right,18
came,18
anything,17
nothing,17
another,17
give,17
best,17
face,16
never,16
every,16
well,16
moment,16
added,16
work,16
reason,15
others,15
hand,15
long,15
wife,15
mind,14
let,14
upon,14
get,14
