word,freq
says,381
joe,120
citizen,87
s.,87
bloody,69
old,66
bloom,65
alf,57
one,55
j.,51
us,40
god,39
o,39
no,38
john,32
like,32
would,31
man,29
eye,27
round,27
good,26
irish,26
see,25
give,25
ireland,25
martin,25
gob,25
street,24
well,24
rev,24
time,23
poor,23
wife,23
talking,22
fellow,22
little,22
two,21
terry,21
know,21
c.,21
p.,20
came,20
bob,20
house,20
wyse,20
mr,19
mrs,19
ned,19
dog,18
name,17
five,17
land,17
going,17
starts,17
miss,17
near,16
let,16
three,16
dublin,16
come,16
sir,16
ay,15
tell,15
sure,15
never,15
told,15
right,15
hand,15
telling,15
yes,15
ancient,15
jesus,14
holy,14
dead,14
begob,14
