word,freq
stephen,92
mulligan,84
buck,73
haines,45
old,21
mother,21
kinch,20
asked,20
voice,18
god,16
sea,16
face,15
water,15
sir,15
come,14
o,13
eyes,13
one,13
two,13
like,12
went,12
towards,11
answered,11
woman,11
mirror,10
dedalus,10
turned,10
tea,10
hands,10
morning,9
round,9
tower,9
stood,9
day,9
no,9
came,8
head,8
cried,8
man,8
us,8
irish,8
say,8
key,8
milk,8
father,8
air,7
held,7
back,7
white,7
long,7
get,7
tell,7
going,7
make,7
look,7
grey,7
let,7
think,7
give,7
well,7
walked,7
open,7
words,7
coming,7
bowl,6
called,6
forward,6
made,6
hair,6
name,6
parapet,6
followed,6
sat,6
must,6
laid,6
