numSent,punctuation,avgSentLen,avgWordLen,numLetters,numwords,dialogue
755.0,1534.0,9.725827814569536,4.245676154160425,31176.0,7343.0,211.0
505.0,960.0,8.831683168316832,4.308968609865471,19218.0,4460.0,119.0
708.0,1435.0,8.159604519774012,4.386705902717673,25342.0,5777.0,22.0
822.0,1345.0,7.268856447688565,4.300083682008368,25693.0,5975.0,58.0
930.0,1490.0,7.017204301075269,4.203800183879865,27434.0,6526.0,52.0
1591.0,2446.0,6.992457573852922,4.2657977528089885,47457.0,11125.0,201.0
1195.0,2237.0,8.472803347280335,4.385777777777778,44406.0,10125.0,279.0
1972.0,2907.0,6.5385395537525355,4.278579184116643,55168.0,12894.0,145.0
1200.0,2522.0,9.941666666666666,4.3962279966471085,52447.0,11930.0,191.0
1275.0,2543.0,10.021176470588236,4.441183376379432,56745.0,12777.0,230.0
2196.0,3664.0,5.64936247723133,4.341770111236499,53864.0,12406.0,202.0
1381.0,3554.0,15.646632874728457,4.359820436875231,94207.0,21608.0,398.0
1457.0,2464.0,11.675360329444063,4.158074187290577,70733.0,17011.0,30.0
1116.0,2791.0,18.397849462365592,4.409555815312682,90537.0,20532.0,1.0
5044.0,12039.0,7.6923076923076925,4.585541237113402,177919.0,38800.0,2.0
913.0,2854.0,25.185104052573934,4.461990084369836,102599.0,22994.0,154.0
855.0,4168.0,26.49356725146199,5.1990994172699985,117770.0,22652.0,2.0
3.0,5.0,8062.333333333333,3.907594989043701,94513.0,24187.0,0.0
