word,freq
mr,76
j.,74
o,71
professor,48
bloom,43
molloy,37
myles,36
crawford,35
see,34
lenehan,34
stephen,28
one,26
editor,25
like,24
face,22
no,22
two,21
asked,21
yes,20
machugh,20
old,19
back,18
good,18
know,18
madden,18
burke,18
hand,17
took,17
ned,17
cried,17
come,16
right,16
door,15
man,15
say,15
turned,14
get,14
lambert,14
office,13
long,13
well,13
time,13
day,13
dedalus,12
way,12
made,12
towards,12
away,12
look,12
let,12
first,12
mouth,12
dublin,11
house,11
us,11
new,11
came,11
tell,11
go,10
wants,10
want,10
words,10
went,10
inner,10
round,9
behind,9
got,9
foreman,9
never,9
give,9
put,9
sir,9
street,8
press,8
red,8
