word,freq
back,23
no,20
see,20
one,19
sand,19
o,16
eyes,15
feet,12
man,12
two,11
night,11
like,10
dog,10
stephen,9
day,9
father,9
yes,9
sir,8
would,8
tide,7
walking,7
going,7
brother,7
tell,7
de,7
air,7
face,7
paris,7
hat,7
mouth,7
read,6
put,6
sea,6
come,6
ever,6
mother,6
away,6
young,6
let,6
water,6
mine,6
get,6
green,6
know,6
hand,6
men,6
old,6
rocks,6
rock,6
dead,6
ineluctable,5
five,5
boots,5
time,5
wild,5
without,5
naked,5
breath,5
poor,5
round,5
waves,5
must,5
aunt,5
uncle,5
wonder,5
someone,5
richie,5
master,5
call,5
egan,5
across,5
blue,5
sun,5
woman,5
lay,5
